date,Sales,Price Discount (%),In-Store Promo,Catalogue Promo,Store End Promo,Product_SKU1,Product_SKU2,Product_SKU3,Product_SKU4,Product_SKU5,Product_SKU6
2017-07-30,7956,0.25,0,0,0,0,1,0,0,0,0
2017-08-06,3071,0.0,0,0,0,0,1,0,0,0,0
2017-08-13,3098,0.0,0,0,0,0,1,0,0,0,0
2017-08-20,3078,0.0,1,0,0,0,1,0,0,0,0
2017-08-27,8376,0.25,0,0,0,0,1,0,0,0,0
2017-09-03,2626,0.0,0,0,0,0,1,0,0,0,0
2017-09-10,2617,0.0,0,0,0,0,1,0,0,0,0
2017-09-17,2572,0.0,1,0,0,0,1,0,0,0,0
2017-09-24,6877,0.25,0,0,0,0,1,0,0,0,0
2017-10-01,2242,0.0,1,0,0,0,1,0,0,0,0
2017-10-08,7041,0.25,0,0,0,0,1,0,0,0,0
2017-10-15,2523,0.03,1,0,0,0,1,0,0,0,0
2017-10-22,6905,0.25,0,1,1,0,1,0,0,0,0
2017-10-29,40527,0.5,0,0,0,0,1,0,0,0,0
2017-11-05,2636,0.03,1,0,0,0,1,0,0,0,0
2017-11-12,6184,0.25,0,0,0,0,1,0,0,0,0
2017-11-19,2521,0.0,0,0,0,0,1,0,0,0,0
2017-11-26,2380,0.0,1,0,0,0,1,0,0,0,0
2017-12-03,6270,0.25,1,0,0,0,1,0,0,0,0
2017-12-10,5278,0.25,0,0,0,0,1,0,0,0,0
2017-12-17,2007,0.03,0,0,0,0,1,0,0,0,0
2017-12-24,1453,0.0,1,0,0,0,1,0,0,0,0
2017-12-31,4940,0.25,0,0,0,0,1,0,0,0,0
2018-01-07,2156,0.03,0,0,0,0,1,0,0,0,0
2018-01-14,2305,0.03,0,1,0,0,1,0,0,0,0
2018-01-21,6406,0.25,0,0,0,0,1,0,0,0,0
2018-01-28,2267,0.0,0,0,0,0,1,0,0,0,0
2018-02-04,2583,0.0,0,1,1,0,1,0,0,0,0
2018-02-11,32549,0.5,1,0,0,0,1,0,0,0,0
2018-02-18,6613,0.28,0,0,0,0,1,0,0,0,0
2018-02-25,2620,0.0,0,0,0,0,1,0,0,0,0
2018-03-04,2805,0.0,0,0,0,0,1,0,0,0,0
2018-03-11,3069,0.0,1,0,0,0,1,0,0,0,0
2018-03-18,8464,0.25,0,0,0,0,1,0,0,0,0
2018-03-25,3318,0.0,0,0,0,0,1,0,0,0,0
2018-04-01,2651,0.0,0,1,0,0,1,0,0,0,0
2018-04-08,17970,0.5,1,0,0,0,1,0,0,0,0
2018-04-15,7697,0.25,0,0,0,0,1,0,0,0,0
2018-04-22,2867,0.0,0,1,0,0,1,0,0,0,0
2018-04-29,6534,0.25,0,0,0,0,1,0,0,0,0
2018-05-06,3679,0.03,0,1,0,0,1,0,0,0,0
2018-05-13,41316,0.5,1,0,0,0,1,0,0,0,0
2018-05-20,8430,0.28,0,1,0,0,1,0,0,0,0
2018-05-27,8539,0.25,0,1,1,0,1,0,0,0,0
2018-06-03,8834,0.25,0,0,0,0,1,0,0,0,0
2018-06-10,2930,0.0,0,0,0,0,1,0,0,0,0
2018-06-17,3420,0.0,0,1,1,0,1,0,0,0,0
2018-06-24,42002,0.5,1,0,0,0,1,0,0,0,0
2018-07-01,8320,0.25,0,0,0,0,1,0,0,0,0
2018-07-08,3387,0.0,1,0,0,0,1,0,0,0,0
2018-07-15,9878,0.25,0,0,0,0,1,0,0,0,0
2018-07-22,3468,0.0,1,0,0,0,1,0,0,0,0
2018-07-29,9613,0.25,0,0,0,0,1,0,0,0,0
2018-08-05,3901,0.0,1,0,0,0,1,0,0,0,0
2018-08-12,8664,0.25,0,0,0,0,1,0,0,0,0
2018-08-19,3395,0.0,1,0,0,0,1,0,0,0,0
2018-08-26,9024,0.25,0,0,0,0,1,0,0,0,0
2018-09-02,3725,0.03,0,0,0,0,1,0,0,0,0
2018-09-09,3139,0.03,0,0,0,0,1,0,0,0,0
2018-09-16,3126,0.0,1,0,0,0,1,0,0,0,0
2018-09-23,9301,0.25,0,0,0,0,1,0,0,0,0
